trial,cued,response,group,PID
1,happiness,-4.5,ASD,asd1
2,love,6.899999999999999,ASD,asd1
3,calming,-8.9,ASD,asd1
4,sadness,3.6999999999999993,ASD,asd1
5,attention,-0.9000000000000004,ASD,asd1
6,gratitude,-2.5,ASD,asd1
1,sadness,4.5,ASD,asd10
2,attention,-3.3,ASD,asd10
3,calming,-0.4000000000000003,ASD,asd10
4,gratitude,-0.09999999999999964,ASD,asd10
5,happiness,-7.1,ASD,asd10
6,love,-0.9000000000000004,ASD,asd10
1,happiness,-4.8,ASD,asd10a
2,calming,1.0999999999999996,ASD,asd10a
3,love,-6.6,ASD,asd10a
4,sadness,4.6,ASD,asd10a
5,gratitude,-6.2,ASD,asd10a
6,attention,-8.6,ASD,asd10a
1,happiness,1.1999999999999993,ASD,asd11
2,sadness,-9.4,ASD,asd11
3,love,8.5,ASD,asd11
4,attention,-3.8,ASD,asd11
5,gratitude,-3.9,ASD,asd11
6,calming,2.6999999999999993,ASD,asd11
1,love,-2.5,ASD,asd12
2,attention,-8.8,ASD,asd12
3,gratitude,0.09999999999999964,ASD,asd12
4,calming,0.8000000000000007,ASD,asd12
5,sadness,-1,ASD,asd12
6,happiness,-10,ASD,asd12
1,gratitude,6.899999999999999,ASD,asd17
2,attention,-5.4,ASD,asd17
3,sadness,9.8,ASD,asd17
4,love,10,ASD,asd17
5,happiness,-7.3,ASD,asd17
6,calming,6.199999999999999,ASD,asd17
1,attention,-5.4,ASD,asd18
2,gratitude,-2.3,ASD,asd18
3,calming,2.4000000000000004,ASD,asd18
4,sadness,-0.5,ASD,asd18
5,love,-0.1999999999999993,ASD,asd18
6,happiness,-9.3,ASD,asd18
1,happiness,1.3000000000000007,ASD,asd2
2,calming,-3.3,ASD,asd2
3,attention,4,ASD,asd2
4,sadness,-1.9000000000000004,ASD,asd2
5,love,3.6999999999999993,ASD,asd2
6,gratitude,-0.1999999999999993,ASD,asd2
1,love,0.8000000000000007,ASD,asd20
2,calming,-3.9,ASD,asd20
3,gratitude,-1.9000000000000004,ASD,asd20
4,sadness,1.0999999999999996,ASD,asd20
5,attention,-0.5,ASD,asd20
6,happiness,1,ASD,asd20
1,calming,-5.6,ASD,asd23
2,gratitude,0.09999999999999964,ASD,asd23
3,sadness,5.199999999999999,ASD,asd23
4,attention,-0.09999999999999964,ASD,asd23
5,love,-0.09999999999999964,ASD,asd23
6,happiness,1.4000000000000004,ASD,asd23
1,sadness,3,ASD,asd25
2,attention,-4.8,ASD,asd25
3,calming,7.600000000000001,ASD,asd25
4,love,-2.3,ASD,asd25
5,gratitude,-3.8,ASD,asd25
6,happiness,-8.8,ASD,asd25
1,love,4.6,ASD,asd26
2,sadness,7.300000000000001,ASD,asd26
3,gratitude,3.4000000000000004,ASD,asd26
4,calming,6.800000000000001,ASD,asd26
5,happiness,-3.4000000000000004,ASD,asd26
6,attention,-0.4000000000000003,ASD,asd26
1,sadness,0.09999999999999964,ASD,asd27
2,calming,-3.7,ASD,asd27
3,love,4.1,ASD,asd27
4,happiness,-3.5999999999999996,ASD,asd27
5,attention,0.09999999999999964,ASD,asd27
6,gratitude,0.1999999999999993,ASD,asd27
1,sadness,-3.5999999999999996,ASD,asd28
2,calming,-6.1,ASD,asd28
3,gratitude,-10,ASD,asd28
4,attention,10,ASD,asd28
5,happiness,6.600000000000001,ASD,asd28
6,love,-5.5,ASD,asd28
1,calming,0.09999999999999964,ASD,asd29
2,happiness,-2.3,ASD,asd29
3,gratitude,1,ASD,asd29
4,sadness,2.1999999999999993,ASD,asd29
5,attention,-1.8000000000000007,ASD,asd29
6,love,3,ASD,asd29
1,attention,-4,ASD,asd3
2,love,-6.2,ASD,asd3
3,sadness,-7.5,ASD,asd3
4,calming,-5.2,ASD,asd3
5,happiness,-7.2,ASD,asd3
6,gratitude,-7.8,ASD,asd3
1,happiness,0.4000000000000003,ASD,asd30
2,gratitude,2.3000000000000007,ASD,asd30
3,attention,-2.5,ASD,asd30
4,sadness,0.4000000000000003,ASD,asd30
5,calming,7.600000000000001,ASD,asd30
6,love,9.4,ASD,asd30
1,sadness,9.9,ASD,asd31
2,love,1.4000000000000004,ASD,asd31
3,happiness,-4.3,ASD,asd31
4,attention,-4.8,ASD,asd31
5,calming,10,ASD,asd31
6,gratitude,-0.3000000000000007,ASD,asd31
1,sadness,4.6,ASD,asd32
2,love,6.899999999999999,ASD,asd32
3,calming,10,ASD,asd32
4,attention,-6.6,ASD,asd32
5,gratitude,2.5999999999999996,ASD,asd32
6,happiness,-8.3,ASD,asd32
1,sadness,-1.3000000000000007,ASD,asd33
2,gratitude,-1.8000000000000007,ASD,asd33
3,attention,0,ASD,asd33
4,love,-6.2,ASD,asd33
5,calming,-5.4,ASD,asd33
6,happiness,-7.5,ASD,asd33
1,attention,0,ASD,asd4
2,gratitude,2.0999999999999996,ASD,asd4
3,calming,10,ASD,asd4
4,happiness,2.5,ASD,asd4
5,sadness,10,ASD,asd4
6,love,10,ASD,asd4
1,love,-4.9,ASD,asd5
2,attention,-4,ASD,asd5
3,calming,-7.2,ASD,asd5
4,sadness,-3.3,ASD,asd5
5,happiness,-5.9,ASD,asd5
6,gratitude,-3.8,ASD,asd5
1,attention,4.1,ASD,asd6
2,sadness,1.3000000000000007,ASD,asd6
3,gratitude,-4.3,ASD,asd6
4,calming,7.300000000000001,ASD,asd6
5,love,2.5,ASD,asd6
6,happiness,-1.9000000000000004,ASD,asd6
1,love,-4.2,ASD,asd7
2,calming,-7.6,ASD,asd7
3,sadness,-4.8,ASD,asd7
4,attention,3.1999999999999993,ASD,asd7
5,gratitude,-0.5,ASD,asd7
6,happiness,-2.3,ASD,asd7
1,gratitude,-1.1999999999999993,ASD,asd8
2,calming,-5.2,ASD,asd8
3,love,-2.3,ASD,asd8
4,attention,-0.4000000000000003,ASD,asd8
5,happiness,0.1999999999999993,ASD,asd8
6,sadness,-7.1,ASD,asd8
1,attention,-4.3,ASD,asd9
2,calming,-9.9,ASD,asd9
3,sadness,-9.7,ASD,asd9
4,happiness,-3.3,ASD,asd9
5,gratitude,-9.4,ASD,asd9
6,love,-7.9,ASD,asd9
1,happiness,0,ASD,asd13
2,sadness,6,ASD,asd13
3,love,0.09999999999999964,ASD,asd13
4,attention,0.09999999999999964,ASD,asd13
5,gratitude,-2.7,ASD,asd13
6,calming,1.6999999999999993,ASD,asd13
1,calming,2.3000000000000007,ASD,asd14
2,love,6.399999999999999,ASD,asd14
3,happiness,-3.2,ASD,asd14
4,sadness,-6.4,ASD,asd14
5,attention,-5.5,ASD,asd14
6,gratitude,-7.3,ASD,asd14
1,happiness,4.300000000000001,ASD,asd15
2,love,4.699999999999999,ASD,asd15
3,attention,6.100000000000001,ASD,asd15
4,gratitude,-0.09999999999999964,ASD,asd15
5,sadness,0.1999999999999993,ASD,asd15
6,calming,0.3000000000000007,ASD,asd15
1,sadness,-5.2,ASD,asd16
2,gratitude,5.1,ASD,asd16
3,love,0,ASD,asd16
4,calming,2.5,ASD,asd16
5,attention,6.800000000000001,ASD,asd16
6,happiness,-8.2,ASD,asd16
1,attention,-2.5,ASD,asd20a
2,calming,-0.6999999999999993,ASD,asd20a
3,love,-5.7,ASD,asd20a
4,gratitude,-0.3000000000000007,ASD,asd20a
5,happiness,-9.1,ASD,asd20a
6,sadness,-0.09999999999999964,ASD,asd20a
1,love,8.399999999999999,ASD,asd21
2,happiness,6.199999999999999,ASD,asd21
3,sadness,4,ASD,asd21
4,gratitude,3.8000000000000007,ASD,asd21
5,attention,1.3000000000000007,ASD,asd21
6,calming,7.100000000000001,ASD,asd21
1,attention,9.6,ASD,asd22
2,gratitude,2.1999999999999993,ASD,asd22
3,love,-2.7,ASD,asd22
4,sadness,0.5999999999999996,ASD,asd22
5,calming,0.1999999999999993,ASD,asd22
6,happiness,1.5999999999999996,ASD,asd22
1,love,7.300000000000001,Control,sub1
2,sadness,5.5,Control,sub1
3,happiness,2.5,Control,sub1
4,calming,3.9,Control,sub1
5,gratitude,2.4000000000000004,Control,sub1
6,attention,-0.8000000000000007,Control,sub1
1,gratitude,7.300000000000001,Control,sub10
2,calming,8.399999999999999,Control,sub10
3,attention,5.1,Control,sub10
4,sadness,6.100000000000001,Control,sub10
5,happiness,4.1,Control,sub10
6,love,2.4000000000000004,Control,sub10
1,calming,3.8000000000000007,Control,sub11
2,love,9.9,Control,sub11
3,gratitude,1,Control,sub11
4,sadness,-0.09999999999999964,Control,sub11
5,happiness,4.1,Control,sub11
6,attention,-0.6999999999999993,Control,sub11
1,gratitude,6,Control,sub12
2,calming,6.300000000000001,Control,sub12
3,sadness,0.9000000000000004,Control,sub12
4,attention,-1.5,Control,sub12
5,happiness,1.9000000000000004,Control,sub12
6,love,9.2,Control,sub12
1,attention,-6.9,Control,sub13
2,love,1.5999999999999996,Control,sub13
3,calming,9,Control,sub13
4,gratitude,-3.9,Control,sub13
5,happiness,-0.9000000000000004,Control,sub13
6,sadness,10,Control,sub13
1,happiness,9.9,Control,sub14
2,attention,9.3,Control,sub14
3,love,10,Control,sub14
4,sadness,10,Control,sub14
5,gratitude,8.600000000000001,Control,sub14
6,calming,8.7,Control,sub14
1,sadness,4.4,Control,sub16
2,happiness,2.6999999999999993,Control,sub16
3,love,9.5,Control,sub16
4,calming,8.100000000000001,Control,sub16
5,gratitude,6.300000000000001,Control,sub16
6,attention,-0.3000000000000007,Control,sub16
1,calming,7.699999999999999,Control,sub17
2,love,7.399999999999999,Control,sub17
3,sadness,5.4,Control,sub17
4,gratitude,-0.3000000000000007,Control,sub17
5,attention,1.0999999999999996,Control,sub17
6,happiness,6.600000000000001,Control,sub17
1,happiness,5.6,Control,sub18
2,gratitude,8.399999999999999,Control,sub18
3,attention,4.6,Control,sub18
4,sadness,9.4,Control,sub18
5,calming,6.100000000000001,Control,sub18
6,love,8.5,Control,sub18
1,happiness,-7.2,Control,sub19
2,calming,-0.9000000000000004,Control,sub19
3,sadness,1.9000000000000004,Control,sub19
4,attention,-8.2,Control,sub19
5,love,3.5,Control,sub19
6,gratitude,0.4000000000000003,Control,sub19
1,sadness,8.2,Control,sub2
2,happiness,-0.4000000000000003,Control,sub2
3,love,9.8,Control,sub2
4,calming,9.5,Control,sub2
5,gratitude,0.5999999999999996,Control,sub2
6,attention,-2.2,Control,sub2
1,love,10,Control,sub20
2,attention,10,Control,sub20
3,gratitude,10,Control,sub20
4,calming,9.8,Control,sub20
5,sadness,-9.9,Control,sub20
6,happiness,10,Control,sub20
1,attention,0,Control,sub21
2,gratitude,-1.1999999999999993,Control,sub21
3,sadness,3.6999999999999993,Control,sub21
4,calming,3.5,Control,sub21
5,happiness,1.4000000000000004,Control,sub21
6,love,2,Control,sub21
1,attention,3.3000000000000007,Control,sub22
2,happiness,4.1,Control,sub22
3,sadness,8.5,Control,sub22
4,love,1,Control,sub22
5,calming,5.300000000000001,Control,sub22
6,gratitude,0.1999999999999993,Control,sub22
1,happiness,4.1,Control,sub23
2,love,9.5,Control,sub23
3,sadness,1.3000000000000007,Control,sub23
4,gratitude,-5.8,Control,sub23
5,calming,-0.5,Control,sub23
6,attention,2,Control,sub23
1,sadness,10,Control,sub24
2,gratitude,5.9,Control,sub24
3,attention,0.4000000000000003,Control,sub24
4,calming,9.8,Control,sub24
5,happiness,7.699999999999999,Control,sub24
6,love,10,Control,sub24
1,happiness,2.5999999999999996,Control,sub25
2,calming,10,Control,sub25
3,gratitude,1.5999999999999996,Control,sub25
4,attention,0,Control,sub25
5,love,9.3,Control,sub25
6,sadness,9,Control,sub25
1,love,10,Control,sub26
2,calming,8.899999999999999,Control,sub26
3,gratitude,-2.0999999999999996,Control,sub26
4,attention,-2.0999999999999996,Control,sub26
5,happiness,0.9000000000000004,Control,sub26
6,sadness,5.9,Control,sub26
1,attention,2.3000000000000007,Control,sub27
2,happiness,-5.1,Control,sub27
3,calming,8.3,Control,sub27
4,love,10,Control,sub27
5,sadness,4.300000000000001,Control,sub27
6,gratitude,1.6999999999999993,Control,sub27
1,attention,0.3000000000000007,Control,sub28
2,calming,8.5,Control,sub28
3,gratitude,8,Control,sub28
4,happiness,6.800000000000001,Control,sub28
5,love,6.100000000000001,Control,sub28
6,sadness,7.600000000000001,Control,sub28
1,love,4,Control,sub29
2,happiness,0.5,Control,sub29
3,calming,8.5,Control,sub29
4,attention,-5.7,Control,sub29
5,sadness,3.9,Control,sub29
6,gratitude,0,Control,sub29
1,happiness,3.1999999999999993,Control,sub3
2,sadness,7.300000000000001,Control,sub3
3,love,5.6,Control,sub3
4,calming,4.800000000000001,Control,sub3
5,gratitude,-0.1999999999999993,Control,sub3
6,attention,-3,Control,sub3
1,love,7.199999999999999,Control,sub30
2,attention,-0.9000000000000004,Control,sub30
3,sadness,1,Control,sub30
4,gratitude,-5.1,Control,sub30
5,happiness,1.9000000000000004,Control,sub30
6,calming,4.9,Control,sub30
1,gratitude,2.5999999999999996,Control,sub31
2,attention,0.09999999999999964,Control,sub31
3,sadness,10,Control,sub31
4,happiness,8.600000000000001,Control,sub31
5,love,8.899999999999999,Control,sub31
6,calming,0.3000000000000007,Control,sub31
1,attention,5,Control,sub32
2,love,8.100000000000001,Control,sub32
3,calming,9.1,Control,sub32
4,gratitude,5.1,Control,sub32
5,sadness,7.5,Control,sub32
6,happiness,1.5,Control,sub32
1,calming,7.399999999999999,Control,sub33
2,gratitude,7,Control,sub33
3,happiness,6.600000000000001,Control,sub33
4,love,10,Control,sub33
5,attention,6.600000000000001,Control,sub33
6,sadness,9.9,Control,sub33
1,attention,-4.6,Control,sub4
2,calming,4.800000000000001,Control,sub4
3,gratitude,5.199999999999999,Control,sub4
4,sadness,4.9,Control,sub4
5,love,7.800000000000001,Control,sub4
6,happiness,-1,Control,sub4
1,calming,5.4,Control,sub5
2,attention,-4.4,Control,sub5
3,gratitude,-1.5,Control,sub5
4,happiness,2.9000000000000004,Control,sub5
5,love,8.7,Control,sub5
6,sadness,5.699999999999999,Control,sub5
1,gratitude,5.4,Control,sub6
2,attention,-7.3,Control,sub6
3,love,6.100000000000001,Control,sub6
4,sadness,9.5,Control,sub6
5,happiness,8.2,Control,sub6
6,calming,-0.1999999999999993,Control,sub6
1,sadness,5.5,Control,sub7
2,happiness,1.6999999999999993,Control,sub7
3,attention,-1,Control,sub7
4,calming,7.800000000000001,Control,sub7
5,love,9.5,Control,sub7
6,gratitude,1.5999999999999996,Control,sub7
1,love,-1.3000000000000007,Control,sub8
2,calming,5.300000000000001,Control,sub8
3,sadness,-2,Control,sub8
4,gratitude,-0.09999999999999964,Control,sub8
5,happiness,1.8000000000000007,Control,sub8
6,attention,0.9000000000000004,Control,sub8
1,happiness,-0.8000000000000007,Control,sub9
2,sadness,-3.0999999999999996,Control,sub9
3,love,9.1,Control,sub9
4,calming,5.6,Control,sub9
5,attention,-1.4000000000000004,Control,sub9
6,gratitude,-1.1999999999999993,Control,sub9
1,happiness,4.300000000000001,Control,sub34
2,calming,7.300000000000001,Control,sub34
3,sadness,6.699999999999999,Control,sub34
4,gratitude,-0.3000000000000007,Control,sub34
5,attention,-4.5,Control,sub34
6,love,8.7,Control,sub34
1,happiness,9.9,Control,sub35
2,sadness,7.399999999999999,Control,sub35
3,calming,5.9,Control,sub35
4,gratitude,8.399999999999999,Control,sub35
5,attention,7.5,Control,sub35
6,love,-3.3,Control,sub35
