experiment,group,Label,F1,F1_bCI_lower,F1_bCI_upper,F1_chance,Total,Present,Selected,Hits,Misses,False Alarms,Correct Rejections,Recall,Precision
felt touch,ASD,attention,0.719047619047619,0.6635437264664465,0.767172847426098,0.2857142857142857,960,160,260,151,9,109,691,0.94375,0.5807692307692308
felt touch,ASD,love,0.6953846153846154,0.6358096627791385,0.7515328885255036,0.2857142857142857,960,160,165,113,47,52,748,0.70625,0.6848484848484848
felt touch,ASD,happiness,0.47580645161290325,0.39112522503933644,0.5454191500232596,0.2857142857142857,960,160,88,59,101,29,771,0.36875,0.6704545454545454
felt touch,ASD,calming,0.5459940652818992,0.4813189751375733,0.6098901098901099,0.2857142857142857,960,160,177,92,68,85,715,0.575,0.519774011299435
felt touch,ASD,sadness,0.41880341880341887,0.3406683463561877,0.49795743356095373,0.2857142857142857,960,160,74,49,111,25,775,0.30625,0.6621621621621622
felt touch,ASD,gratitude,0.2773109243697479,0.19755326725820593,0.3529289271596887,0.2857142857142857,960,160,78,33,127,45,755,0.20625,0.4230769230769231
felt touch,Control,attention,0.7704590818363273,0.7265328563832267,0.8095191022659244,0.2857142857142857,1200,200,301,193,7,108,892,0.965,0.6411960132890365
felt touch,Control,love,0.7164179104477613,0.6650300672893459,0.7640971356686314,0.2857142857142857,1200,200,202,144,56,58,942,0.72,0.7128712871287128
felt touch,Control,happiness,0.7657142857142857,0.7142857142857142,0.8148090948844297,0.2857142857142857,1200,200,150,134,66,16,984,0.67,0.8933333333333333
felt touch,Control,calming,0.594142259414226,0.5414961679428902,0.6454183266932271,0.2857142857142857,1200,200,278,142,58,136,864,0.71,0.5107913669064749
felt touch,Control,sadness,0.42657342657342656,0.3515646810672051,0.4968085908005783,0.2857142857142857,1200,200,86,61,139,25,975,0.305,0.7093023255813954
felt touch,Control,gratitude,0.3484320557491289,0.2798574009710249,0.42359754002627914,0.2857142857142857,1200,200,87,50,150,37,963,0.25,0.5747126436781609
viewed touch,ASD,attention,0.6976744186046512,0.5,0.8333333333333334,0.2857142857142857,96,16,27,15,1,12,68,0.9375,0.5555555555555556
viewed touch,ASD,love,0.9333333333333333,0.8181818181818181,1,0.2857142857142857,96,16,14,14,2,0,80,0.875,1
viewed touch,ASD,happiness,0.7692307692307693,0.5555555555555556,0.923076923076923,0.2857142857142857,96,16,10,10,6,0,80,0.625,1
viewed touch,ASD,calming,0.6666666666666667,0.4908057082151465,0.8070175438596492,0.2857142857142857,96,16,29,15,1,14,66,0.9375,0.5172413793103449
viewed touch,ASD,sadness,0,0,0,0.2857142857142857,96,16,2,0,16,2,78,0,0
viewed touch,ASD,gratitude,0.09090909090909091,0,0.2727272727272727,0.2857142857142857,96,16,6,1,15,5,75,0.0625,0.16666666666666666
viewed touch,Control,attention,0.7777777777777778,0.6363636363636364,0.888888888888889,0.2857142857142857,126,21,33,21,0,12,93,1,0.6363636363636364
viewed touch,Control,love,0.7894736842105262,0.6112196797897672,0.9188617002909786,0.2857142857142857,126,21,17,15,6,2,103,0.7142857142857143,0.8823529411764706
viewed touch,Control,happiness,0.6249999999999999,0.3891711674533947,0.8082944249293151,0.2857142857142857,126,21,11,10,11,1,104,0.47619047619047616,0.9090909090909091
viewed touch,Control,calming,0.6206896551724138,0.45616581961985514,0.7500000000000001,0.2857142857142857,126,21,37,18,3,19,86,0.8571428571428571,0.4864864864864865
viewed touch,Control,sadness,0.35714285714285715,0.1,0.5714285714285715,0.2857142857142857,126,21,7,5,16,2,103,0.23809523809523808,0.7142857142857143
viewed touch,Control,gratitude,0.14285714285714285,0,0.3076923076923077,0.2857142857142857,126,21,7,2,19,5,100,0.09523809523809523,0.2857142857142857
